title,url,discounted_price,original_price
Authentic SMOK TFV12 Cloud Beast King RBA Edition Tank - Silver,https://www.cigabuy.com/authentic-smok-tfv12-cloud-beast-king-rba-edition-tank-silver-p-9927.html,€6.03,€18.21 
Authentic Geekvape Aegis Max 100W TC Starter Kit - Black Tungsten,https://www.cigabuy.com/authentic-geekvape-aegis-max-100w-tc-starter-kit-black-tungsten-p-19662.html,€36.73,€52.29 
Authentic IJOY Mystique 162W TC Kit Mystique SubTank - Black,https://www.cigabuy.com/authentic-ijoy-mystique-162w-tc-kit-mystique-subtank-black-p-13771.html,€14.40,€27.77 
Authentic Steam Crave Aromamizer Plus V2 RDTA Advanced Kit - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-plus-v2-rdta-advanced-kit-black-p-19074.html,€35.68,€44.83 
Authentic Vaporesso Target Mini II 2000mAh 50W TC Box Mod - Silver,https://www.cigabuy.com/authentic-vaporesso-target-mini-ii-2000mah-50w-tc-box-mod-silver-p-15516.html,€10.49,€26.70 
5 x Authentic Wotofo nexMESH Clapton Ni80 + A1 0.2ohm Coil,https://www.cigabuy.com/5-x-authentic-wotofo-nexmesh-clapton-ni80-a1-02ohm-coil-p-19390.html,,
Authentic Sigelei Sobra 198W TC VW Kit - Serpentine Yellow,https://www.cigabuy.com/authentic-sigelei-sobra-198w-tc-vw-kit-serpentine-yellow-p-20005.html,€13.01,€26.02 
3 x Authentic SMOK V12 Prince X2 Coil Head 0.4ohm TPD Version,https://www.cigabuy.com/3-x-authentic-smok-v12-prince-x2-coil-head-04ohm-tpd-version-p-16973.html,€3.47,€12.15 
100 LED Solar Light  Solar Lamp Powered Sunlight 3 Modes PIR Motion Sensor,https://www.cigabuy.com/100-led-solar-light-solar-lamp-powered-sunlight-3-modes-pir-motion-sensor-p-19318.html,€3.04,€13.20 
Authentic Vandy Vape Kylin M AIO Pod Kit - Fantasy Forest,https://www.cigabuy.com/authentic-vandy-vape-kylin-aio-pod-kit-fantasy-forest-p-20188.html,€25.24,€48.56 
4 x Authentic Uwell CROWN 4 IV Coil Head 0.2ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-4-iv-coil-head-02ohm-p-13655.html,€5.95,€11.69 
Authentic VOOPOO DRAG S 2500mAh 60W VW Pod Kit - Mashup,https://www.cigabuy.com/authentic-voopoo-drag-s-2500mah-60w-vw-pod-kit-mashup-p-19707.html,€20.90,€29.66 
Authentic DOVPO Odin 200 200W TC Box Mod - Matte Black,https://www.cigabuy.com/authentic-dovpo-odin-200-200w-tc-box-mod-matte-black-p-19945.html,€46.35,€65.93 
Authentic Dovpo Odin 100 Box Mod - Matte Black,https://www.cigabuy.com/authentic-dovpo-odin-100-box-mod-matte-black-p-20047.html,,
Authentic Steam Crave Kit Hadron Mod + Glaz V2 + Squonk Backpack - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-kit-hadron-mod-glaz-v2-squonk-backpack-gunmetal-p-19308.html,€70.03,€98.78 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Black,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-black-p-18855.html,€17.31,€26.89 
Authentic Uwell Caliburn G POD kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-black-p-19935.html,,
